unique_index,source_text,privacy_mask
67,"""You need this reckless guy here. Rent in Hell's Kitchen ain't cheap like it used to be. How's the *'aspiring actress'* thing going?"" Mary was mad, it was a sore spot for her. ""With the health restrictions winding down, I'm sure I'll find something. Besides, I put so much of what I make into making this apartment work. You party away all the money you make from finance, you're lucky I've been making you save some of it. It's almost comical, a forex trader needing finance advice from a 'broke actor'. Without me you'd start using your credit card for Rolexes and cognac and be up to your eyeballs in debt to impress your shallow friends."" Bob's voice was muffled now, his face down in the couch, Mary could hardly make out what he was saying: ""If you're going to hen-peck me so much, we should at least get married. It'll be good for the tax benefits."" At the suggestion of marriage Sally turned bright red, Sally did *care* for Bob, but not to that degree, and the two had never been romantically involved. ""I, you, I--"" she stammered out, a mixture of mad and embarrassed. She was interrupted by loud snoring, Bob had fallen into a deep sleep.","[{""start"": 110, ""end"": 117, ""label"": ""JOB"", ""value"": ""actress""}, {""start"": 134, ""end"": 138, ""label"": ""PERSON"", ""value"": ""Mary""}, {""start"": 364, ""end"": 371, ""label"": ""JOB"", ""value"": ""finance""}, {""start"": 447, ""end"": 459, ""label"": ""JOB"", ""value"": ""forex trader""}, {""start"": 468, ""end"": 475, ""label"": ""JOB"", ""value"": ""finance""}, {""start"": 497, ""end"": 502, ""label"": ""JOB"", ""value"": ""actor""}, {""start"": 555, ""end"": 562, ""label"": ""PRODUCT"", ""value"": ""Rolexes""}, {""start"": 643, ""end"": 646, ""label"": ""PERSON"", ""value"": ""Bob""}, {""start"": 667, ""end"": 670, ""label"": ""TIMEDATE"", ""value"": ""now""}, {""start"": 700, ""end"": 704, ""label"": ""PERSON"", ""value"": ""Mary""}, {""start"": 887, ""end"": 892, ""label"": ""PERSON"", ""value"": ""Sally""}, {""start"": 912, ""end"": 917, ""label"": ""PERSON"", ""value"": ""Sally""}, {""start"": 933, ""end"": 936, ""label"": ""PERSON"", ""value"": ""Bob""}, {""start"": 970, ""end"": 973, ""label"": ""AMOUNT"", ""value"": ""two""}, {""start"": 978, ""end"": 983, ""label"": ""TIMEDATE"", ""value"": ""never""}, {""start"": 1116, ""end"": 1119, ""label"": ""PERSON"", ""value"": ""Bob""}]"
68,"Samsung Gear Virtual Reality Product Launch Essay (Article) Introduction The launch of a new product is a complicated and multi-level process that requires considering all the aspects of the market activity. While working on product development, a company necessarily carries out the relevant market research, targets its audience, works out SCM strategy, and evaluates potential risks. Product development always has some practical aims whether it is the sales'Äö√¥ increase or positions'Äö√¥ strengthening. The paper at hand is devoted to the analysis of the launch of Samsung Gear VR from different perspectives: the product development model, the business analysis, its technical implementation, etc. The key focus is put on the potential outcomes that this implementation will have for the company'Äö√¥s performance in general. Idea Generation and Screening Every product that appears in the market is initially developed in response to the relevant demand. Thus, it is reasonable to assume that Samsung Gear VR was introduced to meet the demand of keen gamers and those who would spend hours playing the Sega VR in the early nineties. It is essential to note that Samsung was not the first one to enter the VR market 'Äö√¨ by the time it appeared, such products as Oculus Rift, PlayStation VR, and HTC Vive had already occupied the niche (Lowe par.1). Moreover, according to the latest annual report produced by Samsung, the innovative sphere is ăcritical for the company'Äö√¥s survival"" (Samsung 6).","[{""start"": 293, ""end"": 308, ""label"": ""JOB"", ""value"": ""market research""}, {""start"": 342, ""end"": 345, ""label"": ""JOB"", ""value"": ""SCM""}, {""start"": 407, ""end"": 413, ""label"": ""TIMEDATE"", ""value"": ""always""}, {""start"": 571, ""end"": 586, ""label"": ""PRODUCT"", ""value"": ""Samsung Gear VR""}, {""start"": 907, ""end"": 916, ""label"": ""TIMEDATE"", ""value"": ""initially""}, {""start"": 1001, ""end"": 1016, ""label"": ""PRODUCT"", ""value"": ""Samsung Gear VR""}, {""start"": 1092, ""end"": 1097, ""label"": ""TIMEDATE"", ""value"": ""hours""}, {""start"": 1110, ""end"": 1117, ""label"": ""PRODUCT"", ""value"": ""Sega VR""}, {""start"": 1125, ""end"": 1139, ""label"": ""TIMEDATE"", ""value"": ""early nineties""}, {""start"": 1170, ""end"": 1177, ""label"": ""ORGANIZATION"", ""value"": ""Samsung""}, {""start"": 1271, ""end"": 1298, ""label"": ""PRODUCT"", ""value"": ""Oculus Rift, PlayStation VR""}, {""start"": 1304, ""end"": 1312, ""label"": ""PRODUCT"", ""value"": ""HTC Vive""}, {""start"": 1317, ""end"": 1324, ""label"": ""TIMEDATE"", ""value"": ""already""}, {""start"": 1345, ""end"": 1349, ""label"": ""PERSON"", ""value"": ""Lowe""}, {""start"": 1385, ""end"": 1398, ""label"": ""TIMEDATE"", ""value"": ""latest annual""}, {""start"": 1418, ""end"": 1425, ""label"": ""ORGANIZATION"", ""value"": ""Samsung""}, {""start"": 1495, ""end"": 1502, ""label"": ""ORGANIZATION"", ""value"": ""Samsung""}]"
69,"Although the Ronald McDonald 'personality' is not as popular as their market researchers expected (probably because it is totally unoriginal), thousands of young children now think of burgers and chips every time they see a clown with orange hair. THE NORMALITY TRAP No parent needs to be told how difficult it is to  distract a child from insisting on a certain type of food or treat. Advertisements portraying McDonald's as a happy, circus-like place where burgers and chips are provided for everybody at any hour of the day (and late at night), traps children into thinking they aren't 'normal' if they don't go there too. Appetite, necessity and – above all – money, never enter into the 'innocent' world of Ronald McDonald. Few children are slow to spot the gaudy red and yellow standardised frontages in shopping centres and high streets throughout the country. McDonald's know exactly what kind of pressure this puts on people looking after children. It's hard not to give in to this 'convenient' way of keeping children 'happy', even if you haven't got much money and you try to avoid junk-food. TOY FOOD As if to compensate for the inadequacy of their products, McDonald's promote the consumption of meals as a 'fun event'. This turns the act of eating into a performance, with the 'glamour' of being in a McDonald's ('Just like it is in the ads!') reducing the food itself to the status of a prop.","[{""start"": 13, ""end"": 28, ""label"": ""PERSON"", ""value"": ""Ronald McDonald""}, {""start"": 70, ""end"": 88, ""label"": ""JOB"", ""value"": ""market researchers""}, {""start"": 143, ""end"": 152, ""label"": ""AMOUNT"", ""value"": ""thousands""}, {""start"": 171, ""end"": 174, ""label"": ""TIMEDATE"", ""value"": ""now""}, {""start"": 202, ""end"": 212, ""label"": ""TIMEDATE"", ""value"": ""every time""}, {""start"": 224, ""end"": 229, ""label"": ""JOB"", ""value"": ""clown""}, {""start"": 412, ""end"": 422, ""label"": ""ORGANIZATION"", ""value"": ""McDonald's""}, {""start"": 507, ""end"": 526, ""label"": ""TIMEDATE"", ""value"": ""any hour of the day""}, {""start"": 532, ""end"": 545, ""label"": ""TIMEDATE"", ""value"": ""late at night""}, {""start"": 671, ""end"": 676, ""label"": ""TIMEDATE"", ""value"": ""never""}, {""start"": 712, ""end"": 727, ""label"": ""PERSON"", ""value"": ""Ronald McDonald""}, {""start"": 868, ""end"": 878, ""label"": ""ORGANIZATION"", ""value"": ""McDonald's""}, {""start"": 1171, ""end"": 1181, ""label"": ""ORGANIZATION"", ""value"": ""McDonald's""}, {""start"": 1315, ""end"": 1325, ""label"": ""ORGANIZATION"", ""value"": ""McDonald's""}]"
70,"BBD...Bell Biv Devoe or Black Bear Diner?? Either way, you'll want to smack it up, flip it, rub it down!! We came in with appetites and left with food babies. \n\nI felt bad for our poor waitress because I literally sent her away 3 times before I was ready to order. Impressive, extensive menu that has every savory, buttery delicious breakfast treat and combo you could ever hope for.\n\nMy girlfriend commented that the crowd was a bizarre mix of local seniors and mature families...and young yelpers. She was right. But what everyone had in common were forkfuls of pancake goodness and huge contented smiles. Oh mama.....are they pancakes or cupcakes?? wow.\n\n I always give bonus points to Vegas establishments that don't feel like Vegas. This place, as others have said, has a comfortable Northwestern atmosphere, that the owners have succeeded in keeping authentic (if a bit kitschy) with several hundred bears everywhere your eye wanders. Papa Bear swung by our table to check on us, which was a nice touch.\n\nHighly recommended.","[{""start"": 0, ""end"": 3, ""label"": ""ORGANIZATION"", ""value"": ""BBD""}, {""start"": 6, ""end"": 20, ""label"": ""ORGANIZATION"", ""value"": ""Bell Biv Devoe""}, {""start"": 24, ""end"": 40, ""label"": ""ORGANIZATION"", ""value"": ""Black Bear Diner""}, {""start"": 187, ""end"": 195, ""label"": ""JOB"", ""value"": ""waitress""}, {""start"": 230, ""end"": 237, ""label"": ""TIMEDATE"", ""value"": ""3 times""}, {""start"": 667, ""end"": 673, ""label"": ""TIMEDATE"", ""value"": ""always""}, {""start"": 695, ""end"": 700, ""label"": ""LOCATION"", ""value"": ""Vegas""}, {""start"": 737, ""end"": 742, ""label"": ""LOCATION"", ""value"": ""Vegas""}, {""start"": 795, ""end"": 807, ""label"": ""LOCATION"", ""value"": ""Northwestern""}, {""start"": 829, ""end"": 835, ""label"": ""JOB"", ""value"": ""owners""}, {""start"": 904, ""end"": 911, ""label"": ""AMOUNT"", ""value"": ""hundred""}, {""start"": 947, ""end"": 956, ""label"": ""PERSON"", ""value"": ""Papa Bear""}]"
71,"BANGUI (Thomson Reuters Foundation) - The discarded sardine tins, used mayonnaise jars and old tomato cans jumbled together on Kouassi Bafounga'Äö√¥s front porch look like a pile of trash someone forgot to throw out. But retrieving a gleaming lid from the mess, he beams as if he has just found a piece of gold. These everyday objects are treasure to the self-made inventor living in Bangui, the capital of war-ravaged Central African Republic, one of the world'Äö√¥s poorest countries. In his tiny house of crumbling bricks, Bafounga collects what others throw away - and turns it into something useful. He cuts shapes from tin cans and fixes them together with glass, string and a little petrol to produce storm-proof lanterns. Bafounga is a shining example of the ăfrugal innovation"" movement that has its roots in India, inspired by the notion of ăjugaad"", a Hindi word meaning ăimprovising with whatever resources are available"". This trend of doing more with less has spread all over the world. Bafounga devised his first lantern in Bambari when he was 15 and living with his older brother after his parents died. Unable to afford school fees and with time on his hands, he began tinkering with scrap materials. Central African Republic'Äö√¥s second-largest city still has virtually no street lighting - perhaps not surprising in a country where little more than 10 percent of people had access to electricity in 2014, according to the World Bank.","[{""start"": 0, ""end"": 6, ""label"": ""ORGANIZATION"", ""value"": ""BANGUI""}, {""start"": 8, ""end"": 34, ""label"": ""ORGANIZATION"", ""value"": ""Thomson Reuters Foundation""}, {""start"": 127, ""end"": 143, ""label"": ""PERSON"", ""value"": ""Kouassi Bafounga""}, {""start"": 284, ""end"": 288, ""label"": ""TIMEDATE"", ""value"": ""just""}, {""start"": 365, ""end"": 373, ""label"": ""JOB"", ""value"": ""inventor""}, {""start"": 384, ""end"": 390, ""label"": ""LOCATION"", ""value"": ""Bangui""}, {""start"": 419, ""end"": 443, ""label"": ""LOCATION"", ""value"": ""Central African Republic""}, {""start"": 445, ""end"": 448, ""label"": ""AMOUNT"", ""value"": ""one""}, {""start"": 526, ""end"": 534, ""label"": ""PERSON"", ""value"": ""Bafounga""}, {""start"": 730, ""end"": 738, ""label"": ""PERSON"", ""value"": ""Bafounga""}, {""start"": 818, ""end"": 823, ""label"": ""LOCATION"", ""value"": ""India""}, {""start"": 1001, ""end"": 1009, ""label"": ""PERSON"", ""value"": ""Bafounga""}, {""start"": 1039, ""end"": 1046, ""label"": ""LOCATION"", ""value"": ""Bambari""}, {""start"": 1218, ""end"": 1242, ""label"": ""LOCATION"", ""value"": ""Central African Republic""}, {""start"": 1359, ""end"": 1379, ""label"": ""AMOUNT"", ""value"": ""more than 10 percent""}, {""start"": 1419, ""end"": 1423, ""label"": ""TIMEDATE"", ""value"": ""2014""}, {""start"": 1442, ""end"": 1452, ""label"": ""ORGANIZATION"", ""value"": ""World Bank""}]"
72,"My breakthrough came when David Wilson , Senior Director at Machine Intelligence Corp , noticed my project at the Global Tech Summit . Within two weeks , I was hired as a machine learning specialist at their Seattle office . Now , three years later , I lead a team of 8 engineers , managing a budget of 1.2million annually .","[{""start"": 26, ""end"": 38, ""label"": ""PERSON"", ""value"": ""David Wilson""}, {""start"": 41, ""end"": 56, ""label"": ""JOB"", ""value"": ""Senior Director""}, {""start"": 60, ""end"": 85, ""label"": ""ORGANIZATION"", ""value"": ""Machine Intelligence Corp""}, {""start"": 142, ""end"": 151, ""label"": ""TIMEDATE"", ""value"": ""two weeks""}, {""start"": 171, ""end"": 198, ""label"": ""JOB"", ""value"": ""machine learning specialist""}, {""start"": 208, ""end"": 215, ""label"": ""LOCATION"", ""value"": ""Seattle""}, {""start"": 225, ""end"": 228, ""label"": ""TIMEDATE"", ""value"": ""Now""}, {""start"": 231, ""end"": 248, ""label"": ""TIMEDATE"", ""value"": ""three years later""}, {""start"": 268, ""end"": 269, ""label"": ""AMOUNT"", ""value"": ""8""}, {""start"": 270, ""end"": 279, ""label"": ""JOB"", ""value"": ""engineers""}, {""start"": 303, ""end"": 313, ""label"": ""AMOUNT"", ""value"": ""1.2million""}, {""start"": 314, ""end"": 322, ""label"": ""TIMEDATE"", ""value"": ""annually""}]"
73,"His data-dependent chart format made him an enabler for amateur statisticians and precocious list-compilers, kids who couldn't afford subscriptions to the trade magazines. The sturdy scaffolding under Kasem's success was his voice: upbeat, naturally modulated, soothing without being smarmy. Hear him once and he became Casey: familiar, somehow. You could accuse him of being corny, a shameless Pez dispenser of sentimental patter and clich첨¬d advice along with pablum pop. You'd be literally correct but also fundamentally clueless about his down-to-earth appeal. Kasem managed to be commercial without coming across like a hyped-up huckster. He made it seem easy, and also seamless, for instance segueing from a convoluted factoid about Top 10 hits with the word ""Doctor"" in the title to a Dr. Pepper spot. His voice was the product of formative years spent jumping from radio station to station as well as some acting work. Voice-over gigs proved to be a consistent and profitable sidelight; Kasem's resonant tones appeared in commercials and cartoons. Somewhat improbably, he supplied the voice of Norville ""Shaggy"" Rogers on ""Scooby-Doo."" No doubt this further endears him to a generation weaned on musty anachronisms such as network television and Top 40 radio. Tributes: 'Keep reaching for the stars' Truthfully, even at his most popular, Kasem was a bit of an anachronism. When ""America's Top 40"" debuted in 1970, the rock revolution was in full swing, and free-form FM radio was on the rise.","[{""start"": 64, ""end"": 77, ""label"": ""JOB"", ""value"": ""statisticians""}, {""start"": 201, ""end"": 206, ""label"": ""PERSON"", ""value"": ""Kasem""}, {""start"": 320, ""end"": 325, ""label"": ""PERSON"", ""value"": ""Casey""}, {""start"": 395, ""end"": 408, ""label"": ""PRODUCT"", ""value"": ""Pez dispenser""}, {""start"": 565, ""end"": 570, ""label"": ""PERSON"", ""value"": ""Kasem""}, {""start"": 634, ""end"": 642, ""label"": ""JOB"", ""value"": ""huckster""}, {""start"": 743, ""end"": 745, ""label"": ""AMOUNT"", ""value"": ""10""}, {""start"": 792, ""end"": 802, ""label"": ""PRODUCT"", ""value"": ""Dr. Pepper""}, {""start"": 838, ""end"": 853, ""label"": ""TIMEDATE"", ""value"": ""formative years""}, {""start"": 914, ""end"": 920, ""label"": ""JOB"", ""value"": ""acting""}, {""start"": 927, ""end"": 937, ""label"": ""JOB"", ""value"": ""Voice-over""}, {""start"": 995, ""end"": 1000, ""label"": ""PERSON"", ""value"": ""Kasem""}, {""start"": 1102, ""end"": 1110, ""label"": ""PERSON"", ""value"": ""Norville""}, {""start"": 1112, ""end"": 1118, ""label"": ""PERSON"", ""value"": ""Shaggy""}, {""start"": 1120, ""end"": 1126, ""label"": ""PERSON"", ""value"": ""Rogers""}, {""start"": 1131, ""end"": 1141, ""label"": ""WORKOFART"", ""value"": ""Scooby-Doo""}, {""start"": 1258, ""end"": 1260, ""label"": ""AMOUNT"", ""value"": ""40""}, {""start"": 1346, ""end"": 1351, ""label"": ""PERSON"", ""value"": ""Kasem""}, {""start"": 1387, ""end"": 1403, ""label"": ""WORKOFART"", ""value"": ""America's Top 40""}, {""start"": 1416, ""end"": 1420, ""label"": ""TIMEDATE"", ""value"": ""1970""}]"
74,"Last month , Emily joined The Urban Development Fund as a financial analyst . Her primary responsibility is to evaluate investment opportunities that can drive economic development in underserved areas . During a meeting with the board , she presented a detailed report on a potential project in Los Angeles County . The project involves renovating a series of abandoned buildings on S Broadway into affordable housing and retail spaces . Emily 's analysis showed that the project could generate over $ 764,336.48 in revenue annually and create hundreds of jobs.","[{""start"": 0, ""end"": 10, ""label"": ""TIMEDATE"", ""value"": ""Last month""}, {""start"": 13, ""end"": 18, ""label"": ""PERSON"", ""value"": ""Emily""}, {""start"": 26, ""end"": 52, ""label"": ""ORGANIZATION"", ""value"": ""The Urban Development Fund""}, {""start"": 58, ""end"": 75, ""label"": ""JOB"", ""value"": ""financial analyst""}, {""start"": 213, ""end"": 235, ""label"": ""TIMEDATE"", ""value"": ""meeting with the board""}, {""start"": 296, ""end"": 314, ""label"": ""LOCATION"", ""value"": ""Los Angeles County""}, {""start"": 384, ""end"": 394, ""label"": ""LOCATION"", ""value"": ""S Broadway""}, {""start"": 439, ""end"": 444, ""label"": ""PERSON"", ""value"": ""Emily""}, {""start"": 503, ""end"": 513, ""label"": ""AMOUNT"", ""value"": ""764,336.48""}, {""start"": 525, ""end"": 533, ""label"": ""TIMEDATE"", ""value"": ""annually""}, {""start"": 545, ""end"": 553, ""label"": ""AMOUNT"", ""value"": ""hundreds""}]"
75,"On the evening of Sept. 25, Xi Jinping debuted in his role as China'Äö√¥s father-confessor across state-owned television stations. The occasion was the conclusion of three days of self-criticism sessions that the Chinese president oversaw in Hebei province. Wearing his signature black jacket and open-collared white shirt, Xi sat listening to nervous high-ranking local officials. They had reason to be worried: According to Xinhua News Agency, the state newswire, Xi had stern expectations for what would be accomplished (according to official press accounts, he attended four half-day sessions): ăI don'Äö√¥t want to hear fancy words from you when I take part in your sessions. I want real criticisms and self-criticisms."" For older people, the phrase ă self-criticism "" evokes the excesses of Maoism in a way few other terms can. Under Mao Zedong, such sessions were, in theory, a way individuals could be freed of their selfish tendencies and better align themselves with the Communist Party'Äö√¥s ideological goals. In actuality, especially during the Cultural Revolution, they were a means of public punishment and humiliation. The practice, in its uglier, highly public form, died out with Mao. But every few years , the national government seems to spearhead a publicized revival, driven by leaders who are concerned that scandals have eroded the party'Äö√¥s legitimacy and who are unable to address failing confidence through genuine reform.","[{""start"": 28, ""end"": 38, ""label"": ""PERSON"", ""value"": ""Xi Jinping""}, {""start"": 62, ""end"": 67, ""label"": ""LOCATION"", ""value"": ""China""}, {""start"": 74, ""end"": 90, ""label"": ""JOB"", ""value"": ""father-confessor""}, {""start"": 166, ""end"": 176, ""label"": ""TIMEDATE"", ""value"": ""three days""}, {""start"": 221, ""end"": 230, ""label"": ""JOB"", ""value"": ""president""}, {""start"": 242, ""end"": 247, ""label"": ""LOCATION"", ""value"": ""Hebei""}, {""start"": 324, ""end"": 326, ""label"": ""PERSON"", ""value"": ""Xi""}, {""start"": 371, ""end"": 380, ""label"": ""JOB"", ""value"": ""officials""}, {""start"": 426, ""end"": 444, ""label"": ""ORGANIZATION"", ""value"": ""Xinhua News Agency""}, {""start"": 466, ""end"": 468, ""label"": ""PERSON"", ""value"": ""Xi""}, {""start"": 574, ""end"": 578, ""label"": ""AMOUNT"", ""value"": ""four""}, {""start"": 579, ""end"": 587, ""label"": ""TIMEDATE"", ""value"": ""half-day""}, {""start"": 840, ""end"": 850, ""label"": ""PERSON"", ""value"": ""Mao Zedong""}, {""start"": 981, ""end"": 996, ""label"": ""ORGANIZATION"", ""value"": ""Communist Party""}, {""start"": 1198, ""end"": 1201, ""label"": ""PERSON"", ""value"": ""Mao""}, {""start"": 1207, ""end"": 1222, ""label"": ""TIMEDATE"", ""value"": ""every few years""}, {""start"": 1300, ""end"": 1307, ""label"": ""JOB"", ""value"": ""leaders""}]"
76,"""He likes that I am secure in our relationship and I have my own things to do without him."" Indeed, the idea of dating an older woman is titillating for some younger guys. Jeremy Abelson, a self-styled dating impresario who organized the Natural Selection Speed Date event that paired wealthy bachelors with beautiful women this past February in New York City, can see the appeal. ""Any young guy who has seen (the movie) 'American Pie' can basically say he was right there with the Asian guy and the white guy as they were cheering ... for Stifler's mom,"" says Abelson, 27. ""I was basically standing there cheering with them. And I think that's a very common fantasy for young men."" The potential issues between such May-December couples are the same ones that challenge the longevity of any relationship: different long-term priorities and emotional temperament. ""He's not thinking about kids and marriage,"" says Pender of her boyfriend, ""and he bugs me when I forget to dye my gray roots."" If you can work through these issues, the adage holds true: Age ain't nothing but a number. ""When I finally found out how much younger he was, I was a little shocked,"" says Kimberly Schmitz, a 34-year-old communications and public relations director in Tucson, Arizona, of her now-fiancé, Bobby Kern, 25, owner of a feed store and pet food distribution company in the same city.","[{""start"": 172, ""end"": 186, ""label"": ""PERSON"", ""value"": ""Jeremy Abelson""}, {""start"": 324, ""end"": 342, ""label"": ""TIMEDATE"", ""value"": ""this past February""}, {""start"": 346, ""end"": 359, ""label"": ""LOCATION"", ""value"": ""New York City""}, {""start"": 422, ""end"": 434, ""label"": ""WORKOFART"", ""value"": ""American Pie""}, {""start"": 540, ""end"": 547, ""label"": ""PERSON"", ""value"": ""Stifler""}, {""start"": 561, ""end"": 568, ""label"": ""PERSON"", ""value"": ""Abelson""}, {""start"": 914, ""end"": 920, ""label"": ""PERSON"", ""value"": ""Pender""}, {""start"": 1165, ""end"": 1181, ""label"": ""PERSON"", ""value"": ""Kimberly Schmitz""}, {""start"": 1197, ""end"": 1241, ""label"": ""JOB"", ""value"": ""communications and public relations director""}, {""start"": 1245, ""end"": 1251, ""label"": ""LOCATION"", ""value"": ""Tucson""}, {""start"": 1253, ""end"": 1260, ""label"": ""LOCATION"", ""value"": ""Arizona""}, {""start"": 1269, ""end"": 1272, ""label"": ""TIMEDATE"", ""value"": ""now""}, {""start"": 1281, ""end"": 1291, ""label"": ""PERSON"", ""value"": ""Bobby Kern""}, {""start"": 1297, ""end"": 1302, ""label"": ""JOB"", ""value"": ""owner""}]"
77,"Current Analysis of Age-Related Treatment Response Patterns During quarterly assessments spanning 18 months , researchers at SeniorCare Institute observed distinct patterns. Chief Medical Officer Robert Williams from the Geriatric Medicine Department reported that subjects from Uppsala County showed 15 % higher responsiveness. The study, funded with 3.2million euros , utilized advanced monitoring systems with device identifiers and addresses recorded for data integrity. Patient records were secured using encrypted protocols and unique identifiers.","[{""start"": 0, ""end"": 7, ""label"": ""AMOUNT"", ""value"": ""Current""}, {""start"": 67, ""end"": 88, ""label"": ""TIMEDATE"", ""value"": ""quarterly assessments""}, {""start"": 98, ""end"": 107, ""label"": ""TIMEDATE"", ""value"": ""18 months""}, {""start"": 110, ""end"": 121, ""label"": ""JOB"", ""value"": ""researchers""}, {""start"": 125, ""end"": 145, ""label"": ""ORGANIZATION"", ""value"": ""SeniorCare Institute""}, {""start"": 174, ""end"": 195, ""label"": ""JOB"", ""value"": ""Chief Medical Officer""}, {""start"": 196, ""end"": 211, ""label"": ""PERSON"", ""value"": ""Robert Williams""}, {""start"": 221, ""end"": 250, ""label"": ""JOB"", ""value"": ""Geriatric Medicine Department""}, {""start"": 279, ""end"": 293, ""label"": ""LOCATION"", ""value"": ""Uppsala County""}, {""start"": 301, ""end"": 305, ""label"": ""AMOUNT"", ""value"": ""15 %""}, {""start"": 352, ""end"": 368, ""label"": ""AMOUNT"", ""value"": ""3.2million euros""}]"
78,"In order to succeed in competitiveness, Hamel, Doz, and Prahalad (1989, p. 134) call for collaboration, which would allow the company to learn from the skills and experiences of the rival/partner, but such an alliance must not lead to competitive compromise. By the end of 2006, Lincoln had acquired Metrode Products Limited firm in the United Kingdom, a move that would contribute to the company's income through high innovative solutions (NEMA industry news, 2006). By using the hofstede cultural criteria, it can be deduced that the company faces a challenge in cultural conflict emanating from differences in practices, behavior, and communication. Primarily, Indians respect appearance highly, whether in official and casual matters. In this case, the mode of dressing is important, with women not allowed to expose the upper part of their bodies or upper arms, while wearing of leather products is discourages due to the revere Indians have on cows. On behavior, it is important to understand that Indians do not consume beef, prefer business lunches to dinners, do not open gifts in presence of the giver, and use some gestures (hand or head) that may be opposite to other cultures. Finally, the mode of communication is important, considering that Indians respect the use of titles when addressing people, use indirect language when communicating a negative response and they do not accept use of ""thank you' after meals.","[{""start"": 40, ""end"": 45, ""label"": ""PERSON"", ""value"": ""Hamel""}, {""start"": 47, ""end"": 50, ""label"": ""PERSON"", ""value"": ""Doz""}, {""start"": 56, ""end"": 64, ""label"": ""PERSON"", ""value"": ""Prahalad""}, {""start"": 66, ""end"": 70, ""label"": ""AMOUNT"", ""value"": ""1989""}, {""start"": 266, ""end"": 277, ""label"": ""TIMEDATE"", ""value"": ""end of 2006""}, {""start"": 279, ""end"": 286, ""label"": ""ORGANIZATION"", ""value"": ""Lincoln""}, {""start"": 300, ""end"": 324, ""label"": ""ORGANIZATION"", ""value"": ""Metrode Products Limited""}, {""start"": 337, ""end"": 351, ""label"": ""LOCATION"", ""value"": ""United Kingdom""}, {""start"": 441, ""end"": 459, ""label"": ""WORKOFART"", ""value"": ""NEMA industry news""}, {""start"": 461, ""end"": 465, ""label"": ""TIMEDATE"", ""value"": ""2006""}, {""start"": 481, ""end"": 489, ""label"": ""PERSON"", ""value"": ""hofstede""}, {""start"": 1423, ""end"": 1428, ""label"": ""TIMEDATE"", ""value"": ""meals""}]"
79,"Items selected:\n2012 Dom Perignon Brut, Champagne\nVenison Croquette with Apple Moustard\nMarti Foie - Foie Gras, Honey, Tahitian Vanilla, Vodka with Candied Walnuts, Caramelized Pears, Pear Sorbet, Fruit Salad\nBaguette and unsalted butter\nAndre's Classic Lobster Thermidor - Cognac, Gruyere, Mustard, Asparagus, Mushrooms\n2008 5 Puttonyos Royal Tokaji\nPan Seared Duck Foie Gras - Verjus Reduction, Dried Fruit and Almond Custard Tart\nSeared Jumbo Sea Scallop - Curried Beurre Blanc, Carrot Ginger Puree, Pickled Fennel\n2009 Talbott Kali Hart Vineyard, Pinot Noir\nSauteed Sweetbreads - Minus 8 and Bing Cherries, Sauteed Spinach in Puff Pastry\nPan Seared Duck Breast - Spiced Orange Gastrique, Duck Jus, Duck and Pistachio Sausage, Currant and Couscous Cake, Sauteed Kale\nPort Salut - Cherry Compote, Macadamia Tuile\nMango Sorbet - Caramelized Hibiscus, Tapioca\nCadbury Egg Souffl\u00e9 with Creamy Chocolate Sabayon Sauce\nBrandied Cherries\nAlmond and Coconut Truffles\n\nLocated next to Yusho in the renovated Monte Carlo Andre's had long resided on my Vegas \""""to do\"""" list and with the new Spring menu launch coinciding with Easter Traditions I finally opted to pay homage to Chef Rochat's celebrated dining room for a refined experience far too uncommon in this city of modern glitz and glamour.","[{""start"": 17, ""end"": 21, ""label"": ""TIMEDATE"", ""value"": ""2012""}, {""start"": 22, ""end"": 39, ""label"": ""PRODUCT"", ""value"": ""Dom Perignon Brut""}, {""start"": 243, ""end"": 250, ""label"": ""LOCATION"", ""value"": ""Andre's""}, {""start"": 327, ""end"": 331, ""label"": ""TIMEDATE"", ""value"": ""2008""}, {""start"": 332, ""end"": 356, ""label"": ""PRODUCT"", ""value"": ""5 Puttonyos Royal Tokaji""}, {""start"": 527, ""end"": 531, ""label"": ""TIMEDATE"", ""value"": ""2009""}, {""start"": 532, ""end"": 558, ""label"": ""PRODUCT"", ""value"": ""Talbott Kali Hart Vineyard""}, {""start"": 594, ""end"": 601, ""label"": ""PRODUCT"", ""value"": ""Minus 8""}, {""start"": 782, ""end"": 792, ""label"": ""PRODUCT"", ""value"": ""Port Salut""}, {""start"": 874, ""end"": 885, ""label"": ""PRODUCT"", ""value"": ""Cadbury Egg""}, {""start"": 1002, ""end"": 1007, ""label"": ""LOCATION"", ""value"": ""Yusho""}, {""start"": 1025, ""end"": 1036, ""label"": ""LOCATION"", ""value"": ""Monte Carlo""}, {""start"": 1037, ""end"": 1044, ""label"": ""LOCATION"", ""value"": ""Andre's""}, {""start"": 1068, ""end"": 1073, ""label"": ""LOCATION"", ""value"": ""Vegas""}, {""start"": 1108, ""end"": 1114, ""label"": ""TIMEDATE"", ""value"": ""Spring""}, {""start"": 1143, ""end"": 1149, ""label"": ""TIMEDATE"", ""value"": ""Easter""}, {""start"": 1194, ""end"": 1198, ""label"": ""JOB"", ""value"": ""Chef""}, {""start"": 1199, ""end"": 1205, ""label"": ""PERSON"", ""value"": ""Rochat""}]"
